generation,best_fitness,mean_fitness,std_fitness
0,39.179917,-2.292559,10.00327
1,48.182889,1.60932,14.692568
2,48.197882,7.18658,18.105458
3,57.018586,14.08989,19.985542
4,94.785064,19.856667,20.908447
5,94.785064,28.565833,19.857421
6,94.785064,33.320331,18.814161
7,94.785064,38.070103,15.769728
8,94.790514,41.479392,14.097624
9,94.852506,43.365205,12.646404
10,94.852506,43.821185,12.318758
11,94.852506,44.455355,12.283477
12,94.852506,44.904701,12.307363
13,94.852506,45.357688,12.248515
14,94.852506,46.250678,12.218455
15,94.852506,47.905067,13.894341
16,94.852506,48.354254,13.744559
17,94.852506,48.986686,13.449614
18,94.852506,49.620296,13.484746
19,94.852506,50.162711,13.592301
20,94.852506,50.701391,13.440507
21,94.852506,51.426492,13.588516
22,94.852506,52.053788,13.734327
23,94.852506,52.320452,13.625275
24,94.900134,53.237975,14.132543
25,94.900134,53.418695,14.068169
26,94.900134,53.77902,13.871063
27,94.900134,54.674507,14.051825
28,94.900134,55.155901,14.334861
29,94.900134,55.342684,14.351067
30,94.900134,55.346092,14.349287
31,94.900134,55.436133,14.278041
32,94.900134,56.176381,14.829009
33,94.900134,56.176381,14.829009
34,94.900134,57.164003,14.830672
35,94.900134,57.335557,14.673368
36,94.900134,57.711484,15.140664
37,94.900134,57.976073,14.942339
38,94.900134,58.159564,14.874035
39,94.900134,58.627953,15.279131
40,94.900134,58.896049,15.17382
41,94.900134,58.984764,15.083734
42,94.918596,59.453815,15.459875
43,94.918596,59.721348,15.337674
44,94.918596,59.901773,15.302162
45,94.918596,60.07993,15.268535
46,94.918596,60.081154,15.267573
47,94.918596,61.078122,15.271444
48,94.918596,61.439697,15.224042
49,94.918596,61.52838,15.171312
50,94.918596,61.52838,15.171312
51,94.918596,61.709996,15.118187
52,94.918596,62.446079,15.394475
53,94.918596,63.920932,15.731464
54,94.918596,64.104515,15.754922
55,94.918596,64.293909,15.673796
56,94.918596,64.653909,15.605653
57,94.918596,64.835036,15.51644
58,94.918596,65.301995,15.707093
59,94.918596,65.663883,15.672912
60,94.918596,66.022349,15.417381
61,94.918596,66.49268,15.57269
62,94.918596,66.585243,15.489865
63,94.918596,66.849526,15.400909
64,94.918596,66.943239,15.365541
65,94.918596,67.213622,15.162011
66,94.918596,67.215184,15.160041
67,94.918596,67.303521,15.074361
68,94.918596,67.390976,15.092694
69,94.918596,67.481322,15.057193
70,94.918596,67.481322,15.057193
71,94.918596,67.481322,15.057193
72,94.918596,67.481322,15.057193
73,94.918596,67.571231,15.022378
74,94.918596,67.748543,14.843655
75,94.918596,68.321332,15.267498
76,94.918596,68.678768,15.105316
77,94.918596,68.681332,15.10183
78,94.918596,68.682483,15.103823
79,94.918596,69.063825,15.275664
80,94.918596,69.063825,15.275664
81,94.918596,69.063825,15.275664
82,94.918596,69.06442,15.274845
83,94.918596,69.353401,15.432321
84,94.918596,69.353594,15.432057
85,94.918596,69.353594,15.432057
86,94.918596,69.353594,15.432057
87,94.918596,70.105979,15.684141
88,94.918596,70.196233,15.6863
89,94.918596,70.484623,15.870765
90,94.918596,70.574623,15.821013
91,94.918596,70.756894,15.663114
92,94.918596,70.84358,15.562084
93,94.918596,71.399737,15.621038
94,94.918596,71.688788,15.785263
95,94.918596,71.977653,15.942292
96,94.918596,72.250745,15.762373
97,94.918596,72.540846,15.905406
98,94.918596,72.723948,15.830198
99,94.918596,73.519972,15.677996
100,94.918596,73.526473,15.674807
101,94.918596,74.175055,15.407619
102,94.918596,74.175055,15.407619
103,94.918596,74.35446,15.205772
104,94.918596,74.35446,15.205772
105,94.918596,74.35446,15.205772
106,94.918596,74.723149,14.889153
107,94.918596,74.992842,14.649121
108,94.918596,75.281232,14.753012
109,94.918596,75.838161,14.592521
110,94.918596,76.123942,14.680676
111,94.918596,76.30388,14.557391
112,94.918596,76.304609,14.556877
113,94.918596,76.392589,14.413699
114,94.918596,76.392589,14.413699
115,94.918596,76.392589,14.413699
116,94.918596,76.392589,14.413699
117,94.918596,76.85949,14.249096
118,94.918596,77.442663,14.213195
119,94.918596,77.443337,14.214019
120,94.918596,77.443337,14.214019
121,94.918596,77.44508,14.211527
122,94.918596,77.44508,14.211527
123,94.918596,78.107934,14.105646
124,94.918596,78.28951,14.008049
125,94.918596,78.486056,14.100411
126,94.918596,78.486056,14.100411
