generation,best_fitness,mean_fitness,std_fitness
0,34.112107,-2.897167,7.958592
1,54.537067,6.356541,14.096176
2,62.345236,18.271897,15.281884
3,62.345236,25.548633,13.014916
4,62.345236,28.600374,11.750499
5,62.345236,31.599295,10.851691
6,62.345236,34.230567,10.165713
7,64.436978,36.914691,9.90232
8,64.664149,39.474254,8.978057
9,64.664149,42.269539,9.469538
10,64.664149,45.270611,9.469767
11,69.071357,47.571221,9.627482
12,70.077197,48.832083,9.918066
13,70.077197,51.19731,9.916337
14,70.077197,52.43041,9.668733
15,73.594128,54.17004,9.840381
16,73.594128,55.063151,9.367551
17,74.80465,56.879077,8.939029
18,74.80465,57.831624,8.314914
19,74.80465,58.776708,8.37179
20,78.273271,60.080862,8.500403
21,78.443563,61.188269,8.82491
22,79.351623,62.278651,9.017726
23,79.351623,62.924056,8.891023
24,86.70227,63.601199,8.999258
25,86.70227,63.781441,9.037956
26,86.70227,64.444223,8.65936
27,86.70227,64.82735,8.65356
28,86.70227,65.360077,8.644684
29,86.70227,66.25681,8.33853
generation,best_fitness,mean_fitness,std_fitness
29,86.70227,66.25681,8.33853
30,88.265716,67.503787,8.154347
31,88.265716,68.130577,7.473803
32,88.265716,68.234199,7.327595
33,88.265716,68.797125,7.158245
34,88.265716,68.870672,7.172095
35,88.265716,69.253498,6.986295
36,88.265716,69.338635,6.885479
37,88.265716,69.814801,6.898204
38,88.265716,70.196768,6.677276
39,88.265716,70.985942,6.556789
40,88.265716,71.627292,6.075211
41,88.265716,72.072753,5.65796
42,88.265716,72.338798,5.643516
43,89.261172,72.695373,5.955013
44,89.261172,73.060512,6.092936
45,89.261172,73.496022,6.050581
46,89.261172,74.280181,5.98111
47,89.261172,74.716586,5.901027
48,89.261172,75.211284,6.063106
49,89.261172,75.571687,5.918689
