generation,best_fitness,mean_fitness,std_fitness
0,28.945099,-1.789322,9.977871
1,43.087085,9.125882,14.977227
2,43.087085,18.625685,13.340247
3,43.087085,24.108013,10.992544
4,43.087085,27.273345,9.950085
5,43.087085,30.104841,9.650647
6,43.087085,32.575267,8.32869
7,43.087085,33.95624,7.691597
8,43.087085,35.094766,7.127171
9,43.34514,35.851956,6.984925
10,43.34514,37.198665,6.288362
11,43.378884,37.770349,6.007158
12,43.378884,39.690584,4.270074
13,43.378884,40.576463,3.634998
14,43.42381,41.209121,3.055446
15,43.42381,41.633078,2.285976
16,43.42381,41.792481,1.961155
17,43.42381,41.906834,1.947914
18,43.549492,42.198463,1.679846
19,43.549492,42.232613,1.672336
20,43.549492,42.441636,0.874733
21,43.549492,42.499386,0.878627
22,43.629842,42.577736,0.851792
23,43.629842,42.594412,0.848326
24,43.629842,42.692347,0.571708
25,43.629842,42.724457,0.535683
26,43.629842,42.777494,0.515769
27,43.629842,42.822656,0.481371
28,47.947021,42.919084,0.666481
29,47.947021,42.919084,0.666481
generation,best_fitness,mean_fitness,std_fitness
29,47.947021,42.919084,0.666481
30,47.947021,42.969674,0.739043
31,47.947021,43.011195,0.769913
32,47.947021,43.015202,0.768438
33,48.285056,43.152508,1.063687
34,48.285056,43.157259,1.061799
35,48.285056,43.18431,1.021304
36,48.285056,43.241881,1.117493
37,48.286492,43.315856,1.222726
38,48.286492,43.401314,1.326207
39,48.921713,43.479315,1.433685
40,48.921713,43.583346,1.560422
41,48.921713,43.59023,1.556567
42,48.921713,43.644675,1.573526
43,48.921713,43.707564,1.645253
44,48.921713,43.754687,1.671176
45,48.921713,43.805236,1.691522
46,48.921713,43.848779,1.717562
47,48.921713,43.957207,1.782441
48,48.921713,44.060268,1.85253
49,48.921713,44.251412,1.991497
