generation,best_fitness,mean_fitness,std_fitness
0,25.608734,-4.624391,4.821113
1,34.171201,6.76621,12.50534
2,34.171201,12.633419,12.796403
3,34.171201,18.834246,10.993985
4,37.564747,22.715217,9.32786
5,37.565957,24.988424,7.514773
6,37.566896,26.838077,5.804107
7,37.567067,27.47003,5.711799
8,37.567605,28.353199,3.70007
9,37.567605,28.600824,3.737631
10,37.567605,28.735321,3.670347
11,37.567605,28.885204,3.738951
12,37.567605,29.092885,3.88762
13,37.567605,29.27068,3.965156
14,38.377563,29.714734,4.172965
15,38.377563,30.015042,4.254
16,38.42433,30.272685,4.340891
17,38.42433,30.559984,4.392208
18,41.606059,30.786594,4.479429
19,41.648702,31.32954,4.563225
20,41.648702,31.5027,4.470621
21,43.504022,31.785179,4.4738
22,44.320071,33.005256,4.541552
23,44.320071,33.495304,4.381889
24,44.320071,33.772823,4.402022
25,44.320071,34.262204,4.474939
26,44.320071,34.686014,4.472083
27,44.320071,35.296099,4.469189
28,44.349347,36.099334,4.579913
29,48.290279,36.75654,4.727871
generation,best_fitness,mean_fitness,std_fitness
29,48.290279,36.75654,4.727871
30,48.290279,37.075173,4.620831
31,48.290279,37.396744,4.493414
32,48.290279,37.922446,4.657412
33,48.290279,38.044179,4.559862
34,48.332764,38.352474,4.535468
35,48.332764,38.373557,4.527142
36,48.332764,38.617282,4.253844
37,48.332764,38.685054,4.157778
38,48.332764,38.850567,4.196751
39,48.332764,38.970178,4.122791
40,48.332764,39.071633,4.044333
41,48.332764,39.246904,4.044931
42,48.332764,39.347613,3.995011
43,48.332764,39.51803,3.999341
44,48.891093,39.604922,4.057812
45,48.891093,40.179862,3.891514
46,48.891093,40.486824,3.781438
47,48.891093,40.654235,3.742448
48,48.891093,40.959117,3.551824
49,48.891093,41.180107,3.428338
