generation,best_fitness,mean_fitness,std_fitness
0,25.543296,-1.649828,8.844141
1,52.908948,8.416796,15.077115
2,52.908948,18.356073,12.69551
3,52.908948,22.787737,10.372758
4,52.908948,25.321571,9.017036
5,52.908948,27.808233,7.796081
6,52.935521,29.159225,7.255059
7,52.972377,30.927297,7.16995
8,52.972377,31.942081,7.134551
9,52.972377,33.389891,6.945799
10,52.972377,34.153838,6.616864
11,52.972377,35.512184,6.930034
12,54.168434,36.77998,6.727583
13,54.168434,38.428817,6.76642
14,54.176262,40.290595,6.962231
15,54.176262,41.47267,6.918293
16,54.295289,43.542451,6.836816
17,54.295289,44.663083,6.855315
18,54.295289,45.485681,6.399777
19,54.295289,46.325656,6.279807
20,54.295289,47.763917,5.779349
21,54.736781,48.924239,5.297387
22,54.736781,49.280382,5.07279
23,54.736781,49.870485,4.68651
24,54.736781,50.044006,4.437371
25,54.869091,50.588648,4.180031
26,54.869091,50.918382,4.063794
27,54.869091,51.188664,3.792593
28,54.869091,51.476296,3.676865
29,54.869091,51.741039,3.484006
30,54.869091,51.965486,3.352021
31,54.869091,52.12107,3.094724
32,54.869091,52.477305,2.539014
33,54.869091,52.617864,2.400029
34,54.869091,52.969401,1.858364
35,54.869091,53.079596,1.589591
36,54.869091,53.124345,1.590506
37,54.883715,53.218088,1.535998
38,54.883715,53.235613,1.53715
39,54.883715,53.285489,1.4807
40,54.883715,53.379152,1.386705
41,54.883715,53.393191,1.388448
42,54.883715,53.466327,1.386952
43,54.883715,53.55357,1.217162
44,54.883715,53.553618,1.217119
45,54.883715,53.599964,1.209175
46,54.883715,53.627773,1.215356
47,54.883715,53.684913,1.09085
48,54.883715,53.802632,0.971321
49,54.885419,53.863349,0.960358
