generation,best_fitness,mean_fitness,std_fitness
0,25.559813,-2.519526,8.084108
1,31.571822,10.456267,13.57078
2,38.403724,20.348412,8.489377
3,38.403724,23.927914,5.516823
4,38.403724,25.555214,4.844912
5,38.403724,26.720663,3.84729
6,38.403724,27.41936,3.916176
7,38.441501,28.607639,4.155898
8,38.47825,29.212336,4.196661
9,38.505174,29.837056,4.199349
10,38.505174,30.092324,4.099842
11,38.505174,30.343459,4.205166
12,38.512143,30.750518,4.3023
13,38.512143,31.260129,4.348635
14,38.512143,31.92148,4.354279
15,38.512143,31.984555,4.320513
16,38.512143,32.640656,4.301781
17,38.512143,32.93262,4.226295
18,38.512143,33.14948,4.332875
19,38.512143,33.280245,4.30865
20,38.512143,33.631876,4.242344
21,38.512143,33.809743,4.232334
22,38.512143,33.970588,4.12599
23,38.512143,34.28197,4.11429
24,38.512143,34.343539,4.046216
25,38.512143,34.541779,3.914756
26,38.512143,34.63773,3.95389
27,38.512143,34.988918,3.807125
28,38.512143,35.296064,3.746849
29,38.512143,35.370714,3.718636
30,38.512143,35.522015,3.586063
31,38.51421,35.743283,3.565465
32,38.51421,35.90378,3.467948
33,38.51421,35.963849,3.459685
34,38.51421,35.964525,3.459391
35,38.51421,36.024508,3.451066
36,38.51421,36.144462,3.432231
37,38.51421,36.254071,3.296845
38,38.51421,36.333378,3.274465
39,38.51421,36.578082,3.144932
40,38.51421,36.638214,3.122998
41,38.51421,36.822573,3.05527
42,38.51421,37.003006,2.846564
43,38.51421,37.062448,2.814693
44,38.51421,37.112772,2.667689
45,38.51421,37.243282,2.452366
46,38.51421,37.322779,2.391315
47,38.51421,37.323203,2.39152
48,38.51421,37.390299,2.347155
49,38.51421,37.579245,2.023819
