generation,best_fitness,mean_fitness,std_fitness
0,25.543296,-2.960128,7.510195
1,35.112012,10.429627,13.55572
2,40.502281,20.518565,12.79422
3,43.368373,30.358823,9.943
4,46.698961,34.475603,7.590105
5,46.792402,37.042938,5.785769
6,46.792402,39.281893,4.243734
7,46.792402,40.60323,3.760705
8,46.792402,41.929814,3.097268
9,46.811839,42.808306,2.967317
10,46.823872,43.914909,2.796866
11,46.844269,44.400711,2.448389
12,46.844269,44.800412,2.261306
13,46.860103,45.351286,1.951059
14,46.860103,45.610122,1.698715
15,46.860103,45.861739,1.429759
16,46.865815,46.088077,1.25643
17,46.884622,46.154163,1.181732
18,46.885655,46.178506,1.174041
19,46.885655,46.213006,1.142074
20,46.886871,46.261576,1.123799
21,46.886871,46.288261,1.106203
22,46.886871,46.314536,1.09149
23,46.886871,46.386247,0.89699
24,46.886871,46.409665,0.89001
25,46.886871,46.462059,0.786411
26,46.886871,46.517845,0.626285
27,46.886871,46.542496,0.617095
28,46.887915,46.546511,0.61753
29,46.887915,46.549597,0.618378
generation,best_fitness,mean_fitness,std_fitness
29,46.887915,46.549597,0.618378
30,46.887915,46.549923,0.618385
31,46.887915,46.574674,0.591811
32,46.887915,46.610452,0.497972
33,46.887915,46.615227,0.492149
34,46.887915,46.61758,0.492203
35,46.887915,46.648557,0.447678
36,46.887915,46.653616,0.447529
37,48.156202,46.687316,0.424524
38,48.156202,46.703174,0.445306
39,48.156202,46.703174,0.445306
40,48.201982,46.730897,0.488313
41,48.201982,46.737616,0.486698
42,48.229973,46.759852,0.508083
43,48.229973,46.760382,0.508189
44,48.229973,46.760965,0.507951
45,57.526639,46.885086,1.191897
46,57.526639,47.127968,1.837846
47,66.130139,47.424112,2.791656
48,66.130139,47.818334,3.431099
49,66.130139,48.287568,3.808845
