generation,best_fitness,mean_fitness,std_fitness
0,15.922533,-5.106003,4.542111
1,20.001555,-0.013435,7.704016
2,25.45751,3.879261,8.758631
3,30.388092,11.357518,8.42348
4,46.994707,16.718141,9.875758
5,54.237211,20.579578,10.899033
6,59.005671,23.545364,11.385134
7,59.400988,27.542166,11.730098
8,63.969796,30.642605,12.258153
9,63.969796,32.912761,12.291424
10,63.969796,36.780276,11.526927
11,72.492704,40.277228,11.847613
12,72.492704,42.148384,11.221288
13,72.492704,43.024303,11.117144
14,72.492704,43.782326,10.888797
15,72.492704,44.613,10.54282
16,72.492704,45.335303,10.121299
17,72.492704,45.815551,10.360764
18,72.492704,46.110818,10.19622
19,72.492704,47.393324,9.369972
20,72.492704,48.120526,8.919984
21,72.492704,48.504381,9.121662
22,72.492704,49.258709,9.184622
23,72.492704,49.65524,9.184009
24,72.492704,49.909103,8.970596
25,72.492704,50.564777,8.575093
26,73.940557,51.027942,8.951867
27,73.940557,51.141901,8.939734
28,73.940557,51.34937,8.748002
29,73.940557,51.357648,8.738971
generation,best_fitness,mean_fitness,std_fitness
29,73.940557,51.357648,8.738971
30,73.940557,51.475299,8.554416
31,73.940557,51.851119,8.516243
32,73.940557,52.014243,8.424507
33,73.940557,52.185688,8.257296
34,73.940557,52.894408,8.373542
35,73.940557,53.146933,8.194032
36,73.940557,53.32451,8.166287
37,73.940557,53.423366,8.088587
38,73.940557,53.423366,8.088587
39,73.940557,53.602803,8.052468
40,73.940557,53.930303,8.016196
41,73.940557,54.318933,8.085422
42,73.940557,54.531067,8.090839
43,73.940557,54.86071,8.060136
44,73.940557,54.965693,7.998925
45,73.940557,55.125696,7.983684
46,73.940557,55.210203,8.031335
47,73.940557,55.388773,7.887955
48,73.940557,55.405262,7.867836
49,73.940557,55.437841,7.837158
