generation,best_fitness,mean_fitness,std_fitness
0,17.308981,-5.348316,4.305343
1,49.976185,13.384654,8.601699
2,50.828244,22.35,9.863944
3,63.925894,34.070462,10.064146
4,66.274957,47.684395,7.998504
5,72.350993,53.831657,6.632404
6,72.350993,57.018066,5.748982
7,72.350993,59.09354,6.007817
8,72.350993,61.173988,5.157528
9,72.875039,62.962915,5.22724
10,72.875039,65.244752,5.073806
11,72.875039,66.947149,4.597169
12,72.875039,68.426107,3.856067
13,72.914855,69.28777,3.533838
14,72.914855,70.59387,2.528123
15,72.914855,71.130043,2.280108
16,72.914855,71.70423,1.678057
17,72.914855,72.137659,1.05728
18,72.914855,72.402538,0.481724
19,72.993834,72.491866,0.493661
20,72.993834,72.528013,0.489838
21,73.001394,72.553901,0.491748
22,73.001394,72.61016,0.490293
23,73.230713,72.689758,0.378441
24,73.230713,72.710182,0.382655
25,73.230713,72.724247,0.385979
26,73.230713,72.737516,0.381721
27,73.230713,72.746876,0.380921
28,73.230713,72.76489,0.376271
29,73.230713,72.779913,0.371784
30,73.344393,72.79518,0.375666
31,78.377071,72.890995,0.582824
32,78.377071,72.895805,0.582152
33,78.377071,72.902432,0.582312
34,78.377071,72.911567,0.576615
35,78.377071,72.915421,0.576024
36,78.377071,72.927939,0.573609
37,78.377071,72.932886,0.573235
38,78.377071,72.938806,0.57224
39,78.377071,72.944913,0.571674
40,78.377071,72.950481,0.572492
41,79.109482,73.018327,0.838138
42,79.109482,73.01906,0.837958
43,79.109482,73.01906,0.837958
44,79.109482,73.020559,0.837258
45,79.109482,73.020559,0.837258
46,79.109482,73.023659,0.837033
47,79.109482,73.02412,0.836749
48,79.109482,73.02412,0.836749
49,79.109482,73.024781,0.836388
