generation,best_fitness,mean_fitness,std_fitness
0,12.152474,-4.894903,4.15251
1,20.699927,1.243597,7.942603
2,20.699927,4.354943,7.922554
3,29.107741,6.174629,7.827291
4,29.107741,8.038001,7.075805
5,44.283766,9.525902,7.484102
6,44.283766,11.55346,8.780779
7,44.283766,13.457665,9.289446
8,49.794447,14.982673,9.697134
9,49.794447,16.216291,10.0322
10,49.794447,17.624793,10.02605
11,49.794447,18.40308,10.164802
12,49.794447,19.50229,10.179688
13,49.794447,20.625064,10.082784
14,49.794447,21.812529,10.141533
15,49.794447,23.204803,9.793677
16,49.794447,24.392553,9.834912
17,60.467497,25.774244,10.464546
18,60.467497,27.744187,9.854672
19,60.467497,28.401643,9.900139
20,60.467497,29.630209,9.371217
21,60.467497,31.381942,9.05545
22,60.467497,31.727673,9.080951
23,60.467497,32.310535,8.731514
24,60.467497,32.796925,8.499537
25,60.467497,33.684481,8.336754
26,60.467497,34.370926,8.262818
27,60.467497,35.562507,8.236679
28,60.467497,36.41421,7.885288
29,60.467497,37.330623,7.817985
generation,best_fitness,mean_fitness,std_fitness
29,60.467497,37.330623,7.817985
30,60.467497,37.696547,7.580609
31,60.467497,38.246004,7.662497
32,60.467497,38.933628,7.798552
33,65.105542,39.546436,8.010564
34,65.105542,39.802789,7.751304
35,65.105542,40.22924,7.578456
36,65.105542,40.739126,7.438103
37,65.105542,41.399045,7.063959
38,65.105542,41.551933,7.092638
39,65.105542,41.768757,7.132608
40,65.105542,42.287087,6.792892
41,65.105542,42.895684,6.799194
42,65.105542,43.149575,6.710339
43,65.105542,43.569136,6.556754
44,65.105542,43.656454,6.503275
45,65.105542,44.078691,6.401429
46,65.105542,44.354917,6.161707
47,65.105542,44.529615,6.256982
48,65.105542,44.815776,6.310097
49,65.105542,44.973151,6.210151
