generation,best_fitness,mean_fitness,std_fitness
0,31.567621,-3.021077,7.841404
1,40.490578,17.224373,12.933126
2,43.737492,29.661192,8.019372
3,48.299212,36.901509,5.843653
4,58.432997,41.744633,5.71484
5,58.432997,44.400423,5.060216
6,58.432997,46.824324,3.830195
7,60.247952,48.729047,4.004966
8,60.481951,50.411259,3.69556
9,60.481951,51.470648,3.549553
10,60.624346,52.687935,3.581685
11,60.673132,53.911344,3.52668
12,63.079418,54.959389,3.308584
13,72.901935,59.358048,5.221528
14,78.978339,64.579003,5.891808
15,79.344774,68.242746,5.008795
16,79.344774,70.57735,4.190282
17,79.481234,72.036725,3.475003
18,79.481234,72.860497,3.204039
19,79.481234,73.839815,2.990898
20,79.481234,74.498927,2.986123
21,79.481234,74.848839,2.946724
22,79.481234,75.189337,2.918443
23,79.481234,75.590009,2.665873
24,79.481234,75.871247,2.58946
25,79.498818,76.37126,2.428453
26,79.727175,76.551503,2.302649
27,79.811652,76.908898,2.266778
28,85.434339,77.252635,2.36376
29,87.185127,77.623163,2.602047
30,87.185127,77.756433,2.581631
31,88.818658,78.127682,2.668123
32,88.818658,79.654759,3.636572
33,88.914277,80.42984,3.955396
34,88.971171,81.881456,4.376712
35,88.971171,83.121738,4.54846
36,89.167553,84.294591,4.378494
37,89.623305,85.786557,3.756564
38,89.623305,86.791279,3.177665
39,89.928231,87.615996,2.591702
40,90.217827,88.364355,1.754602
41,90.217827,88.500569,1.539363
42,90.217827,88.687827,1.261493
43,90.217827,88.856234,0.814285
44,90.217827,88.967218,0.73626
45,90.217827,89.040751,0.668281
46,90.217827,89.07984,0.663881
47,90.217827,89.153292,0.584882
48,90.227308,89.210691,0.56414
49,90.227308,89.21891,0.571453
