generation,best_fitness,mean_fitness,std_fitness
0,18.278635,-6.274417,3.901648
1,43.713928,-0.923659,8.512523
2,43.713928,6.878613,10.042122
3,48.960809,16.897368,11.254224
4,48.960809,28.35468,10.095477
5,59.900567,36.93568,10.03168
6,66.217242,43.456385,9.203083
7,68.225111,48.972859,9.093011
8,68.225111,53.237936,7.928542
9,79.310448,57.60153,7.795783
10,79.453866,62.65692,7.386503
11,79.453866,65.718347,6.933837
12,79.57267,68.76163,6.09096
13,86.762568,70.150189,5.749112
14,86.762568,71.636968,5.486354
15,86.762568,72.894128,5.163667
16,86.762568,74.1768,5.028144
17,86.762568,75.297368,4.659783
18,86.762568,76.111352,3.833875
19,86.762568,76.273323,3.999195
20,86.762568,76.787737,3.882805
21,86.762568,77.24332,3.927241
22,86.762568,77.76184,3.907842
23,86.762568,78.522258,4.000218
24,86.83312,79.015351,3.926451
25,86.83312,79.278821,3.777553
26,86.83312,79.499532,3.707445
27,86.83312,79.649125,3.710162
28,87.005699,79.84846,3.671898
29,87.005699,80.043161,3.678447
30,87.005699,80.249178,3.707556
31,87.005699,80.373684,3.559883
32,87.005699,80.566728,3.511732
33,87.005699,80.774857,3.502305
34,87.005699,80.999195,3.344107
35,87.005699,81.091708,3.254211
36,87.005699,81.155452,3.257568
37,87.005699,81.174186,3.275884
38,87.005699,81.376007,3.208257
39,87.005699,81.471045,3.216478
40,87.005699,81.540512,3.208903
41,87.005699,81.709415,3.197729
42,87.005699,81.904456,3.145099
43,87.005699,82.022289,3.089986
44,87.005699,82.217345,3.067366
45,87.005699,82.387506,3.061041
46,87.005699,82.463744,3.070734
47,87.005699,82.593563,3.050292
48,87.005699,82.743859,3.011348
49,87.005699,83.061723,2.898488
