generation,best_fitness,mean_fitness,std_fitness
0,41.841993,-3.631905,8.465445
1,41.84984,12.995142,15.094678
2,55.878013,28.607004,14.885348
3,58.671248,38.646481,11.451303
4,61.476089,44.978563,9.495024
5,70.206781,50.97521,7.920656
6,70.251264,56.097791,6.484802
7,70.364675,60.384473,5.924813
8,79.176037,65.53055,6.756725
9,79.241803,69.93777,6.773972
10,79.302613,74.018305,5.286096
11,79.341938,76.749061,4.009021
12,79.353216,78.095311,2.722823
13,79.381504,78.799103,2.211641
14,79.385097,79.176862,0.743646
15,79.394971,79.273789,0.402535
16,79.394971,79.332874,0.047349
17,79.399353,79.350532,0.039432
18,79.399353,79.372495,0.023775
19,79.399353,79.381993,0.015303
20,79.399353,79.38679,0.013457
21,79.399353,79.391888,0.00711
22,79.399353,79.39402,0.005564
23,79.399353,79.395845,0.004173
24,79.399353,79.396741,0.003312
25,79.399353,79.397575,0.002435
26,79.399353,79.39794,0.002367
27,79.399353,79.398246,0.002243
28,79.399353,79.398422,0.00215
29,79.399353,79.398553,0.002067
30,79.399353,79.398641,0.002005
31,79.399353,79.398904,0.001782
32,79.399353,79.398948,0.001738
33,79.399353,79.398991,0.001692
34,79.399353,79.398991,0.001692
35,79.399353,79.398991,0.001692
36,79.399353,79.398991,0.001692
37,79.399353,79.398991,0.001692
38,79.399353,79.398991,0.001692
39,79.399353,79.398991,0.001692
40,79.399353,79.39909,0.001041
41,79.399353,79.399134,0.000955
42,79.399353,79.399178,0.000859
43,79.399353,79.399222,0.000748
44,79.399353,79.399222,0.000748
45,79.399353,79.399222,0.000748
46,79.399353,79.399222,0.000748
47,79.399353,79.399265,0.000614
48,79.399353,79.399265,0.000614
49,79.399353,79.399309,0.000436
