generation,best_fitness,mean_fitness,std_fitness
0,33.422527,-4.134231,7.045374
1,42.703544,11.280843,13.984068
2,67.612536,26.095921,9.954687
3,70.02253,35.897537,9.14788
4,79.200974,44.96462,11.373503
5,79.200974,52.638265,11.442177
6,87.112405,60.510918,10.891893
7,87.112405,65.006129,8.990649
8,87.139602,68.96137,7.115154
9,87.194185,71.867007,6.590262
10,87.393272,74.572874,5.856686
11,88.578622,75.870397,5.601279
12,88.578622,77.487929,5.665358
13,89.056585,78.874422,5.602616
14,89.056585,79.96025,5.44682
15,89.481134,80.884798,5.302867
16,91.190244,81.97437,5.18564
17,91.190244,83.090735,4.89038
18,91.321298,83.922302,4.800045
19,91.321298,84.91387,4.798621
20,91.321298,85.800814,4.502188
21,91.321298,86.396642,4.119888
22,91.321298,86.814858,3.934874
23,91.321298,87.077497,3.792083
24,91.988836,87.639102,3.454134
25,91.988836,87.981682,3.144385
26,91.988836,88.257115,2.992389
27,91.988836,88.441793,2.920947
28,91.988836,88.542935,2.759883
29,91.988836,88.879261,2.373295
30,91.988836,89.097224,2.233782
31,92.473103,89.463133,1.907289
32,92.473103,89.637863,1.601811
33,92.473103,89.901596,0.871271
34,92.473103,89.983613,0.859208
35,92.473103,90.077225,0.779301
36,92.473103,90.16034,0.768989
37,92.473103,90.196451,0.75318
38,92.473103,90.21433,0.752296
39,92.473103,90.298885,0.785371
40,92.473103,90.342356,0.74711
41,92.473103,90.411899,0.687719
42,92.473103,90.514942,0.697112
43,92.473103,90.527456,0.686107
44,92.473103,90.553638,0.668996
45,92.473103,90.585239,0.656716
46,92.473103,90.61109,0.63095
47,92.473103,90.64746,0.64637
48,92.473103,90.696125,0.661073
49,92.473103,90.768974,0.689615
