generation,best_fitness,mean_fitness,std_fitness
0,34.335315,-2.890867,8.904189
1,52.65404,13.998108,15.221216
2,52.65404,29.713122,11.341702
3,54.036225,39.162262,8.125382
4,54.325275,43.305818,6.428977
5,60.459781,47.231558,5.261484
6,60.479237,49.874912,5.238816
7,60.488886,52.433896,5.226503
8,60.520758,55.191558,4.274397
9,60.520758,56.05677,4.11573
10,60.545019,57.177086,3.649572
11,60.611433,58.244411,3.025825
12,60.654776,58.391375,2.984025
13,60.662489,58.892127,2.791512
14,60.662489,58.965129,2.621028
15,60.662489,59.032986,2.584489
16,60.662489,59.234292,2.42822
17,60.662959,59.523385,2.245097
18,60.662959,59.714404,2.078453
19,60.671107,59.901361,1.875958
20,60.671107,60.034203,1.719582
21,60.671107,60.107575,1.633572
22,60.671107,60.173478,1.53837
23,60.671107,60.241651,1.434548
24,60.671107,60.371004,1.184203
25,60.671107,60.376837,1.185347
26,60.671107,60.380723,1.186047
27,60.671107,60.447609,1.034387
28,60.671107,60.452957,1.035305
29,60.671107,60.453556,1.035416
30,60.671107,60.515057,0.852031
31,60.671107,60.578018,0.604859
32,60.671107,60.639079,0.056434
33,60.671107,60.643295,0.047878
34,60.671107,60.644274,0.047868
35,60.671107,60.645053,0.048112
36,60.671107,60.64621,0.047645
37,60.671107,60.646659,0.047613
38,60.671107,60.649378,0.044065
39,60.671107,60.649707,0.044116
40,60.671107,60.651119,0.043228
41,60.671107,60.652305,0.041904
42,60.671107,60.653192,0.041835
43,60.671107,60.653278,0.041864
44,60.671107,60.654544,0.040665
45,60.671107,60.654875,0.040764
46,60.671107,60.655683,0.038893
47,60.671107,60.655932,0.038966
48,60.671107,60.655932,0.038966
49,60.671107,60.657322,0.037918
