generation,best_fitness,mean_fitness,std_fitness
0,89.542332,8.372428,28.584494
1,90.172628,21.332038,35.206907
2,90.173025,33.633161,38.351263
3,90.173025,45.146541,36.18787
4,92.391655,53.480844,35.723382
5,92.391655,72.151168,28.308163
6,92.391655,78.225404,22.873758
7,92.391655,80.317073,19.879041
8,92.391655,84.20263,14.01351
9,92.391655,85.051,13.046332
10,92.391655,86.844388,8.454651
11,92.391655,87.899601,1.245619
12,92.391655,88.026153,1.335063
13,92.391655,88.188155,1.358056
14,92.391655,88.237369,1.371823
15,92.552828,88.279142,1.397406
16,92.552828,88.367173,1.407761
17,92.552828,88.411487,1.418743
18,92.552828,88.481895,1.439227
19,92.552828,88.550665,1.446738
20,92.552828,88.637649,1.458668
21,92.552828,88.71879,1.460485
22,92.552828,88.849732,1.466398
23,92.552828,89.004994,1.451405
24,92.552828,89.058809,1.435085
25,92.552828,89.109241,1.411244
26,92.552828,89.117612,1.401986
27,92.552828,89.244814,1.366829
28,92.552828,89.292883,1.334517
29,92.552828,89.474055,1.252448
30,92.552828,89.482382,1.257356
31,92.552828,89.496865,1.247426
32,92.552828,89.557156,1.252956
33,93.436695,89.592163,1.300704
34,93.436695,89.651452,1.235985
35,93.436695,89.664342,1.237947
36,93.436695,89.720826,1.264031
37,93.436695,89.769632,1.250345
38,93.436695,89.782784,1.229744
39,93.436695,89.784691,1.22844
40,93.436695,89.837997,1.213331
41,93.436695,89.86107,1.184257
42,93.436695,89.923731,1.120397
43,93.436695,89.949013,1.086626
44,93.436695,89.999891,1.055996
45,93.436695,90.003532,1.057055
46,93.436695,90.00814,1.057232
47,93.436695,90.037964,1.039944
48,93.436695,90.037964,1.039944
49,93.436695,90.056499,1.037543
50,93.436695,90.07885,0.997772
51,93.436695,90.093196,0.997258
52,93.436695,90.093939,0.996902
53,93.436695,90.111931,0.997438
54,93.436695,90.157566,1.04278
55,93.436695,90.190451,1.015112
56,93.436695,90.216893,1.017848
57,93.436695,90.217141,1.018098
58,93.436695,90.217141,1.018098
59,93.436695,90.247661,1.025631
60,93.436695,90.26137,1.028058
61,93.436695,90.283782,1.013489
62,93.436695,90.310765,0.972943
63,93.436695,90.325667,0.966101
64,93.436695,90.325747,0.966023
65,93.436695,90.343336,0.970628
66,93.436695,90.350597,0.974808
67,93.436695,90.367697,0.96989
68,93.436695,90.387073,0.961408
69,93.436695,90.403047,0.951254
70,93.436695,90.45641,0.961312
71,93.436695,90.45641,0.961312
72,93.436695,90.459529,0.961526
73,93.436695,90.469965,0.956558
74,93.436695,90.480826,0.961354
75,93.436695,90.529369,0.919751
76,93.436695,90.576263,0.94582
77,93.436695,90.589973,0.940137
78,93.436695,90.606725,0.954912
79,93.436695,90.626932,0.936535
80,93.436695,90.706569,0.958602
81,93.436695,90.71832,0.960854
82,93.436695,90.723252,0.957009
83,93.436695,90.739509,0.955132
84,93.436695,90.75121,0.964412
85,93.436695,90.771595,0.96943
86,93.436695,90.829664,0.982484
87,93.436695,90.848062,0.981494
88,93.436695,90.848062,0.981494
89,93.436695,90.92983,1.023634
90,93.436695,90.944875,1.003542
91,93.436695,91.008951,0.945695
92,93.436695,91.008951,0.945695
93,93.436695,91.064818,0.956942
94,93.436695,91.066885,0.956533
95,93.436695,91.082204,0.943377
96,93.436695,91.094883,0.929046
97,93.436695,91.112992,0.923068
98,93.436695,91.137192,0.928272
99,93.436695,91.141949,0.926062
100,93.436695,91.163713,0.94033
101,93.436695,91.179986,0.924047
102,93.436695,91.190516,0.914803
103,93.436695,91.195381,0.91429
104,93.436695,91.201511,0.908784
105,93.436695,91.239124,0.913453
106,93.436695,91.261484,0.916668
107,93.436695,91.299862,0.899036
108,93.436695,91.336375,0.877404
109,93.436695,91.395409,0.873413
110,93.436695,91.426759,0.876551
111,93.616695,91.485347,0.873935
112,93.616695,91.507621,0.86837
113,93.616695,91.528797,0.840321
114,93.616695,91.543402,0.860431
115,93.616695,91.543402,0.860431
116,93.616695,91.629906,0.885907
117,93.616695,91.659249,0.890275
118,93.616695,91.693114,0.89144
119,93.616695,91.693895,0.890632
120,93.616695,91.728194,0.891182
121,93.616695,91.782658,0.893239
122,93.616695,91.818035,0.884417
123,93.616695,91.830703,0.893578
124,93.616695,91.835998,0.895837
125,93.616695,91.886281,0.900711
126,93.616695,91.898079,0.902371
127,93.736695,91.94537,0.908581
128,93.736695,91.94906,0.904793
129,93.736695,91.979023,0.900902
130,93.736695,91.997114,0.894384
131,93.736695,92.029793,0.890931
132,93.736695,92.030393,0.891425
133,93.736695,92.041856,0.894198
134,93.736695,92.06273,0.893094
135,93.736695,92.109529,0.85938
136,93.736695,92.151007,0.845473
137,93.736695,92.155207,0.848497
138,93.736695,92.158467,0.848203
139,93.736695,92.168128,0.832882
140,93.736695,92.184475,0.818833
141,93.736695,92.198552,0.798659
142,93.736695,92.256752,0.752444
143,93.736695,92.256752,0.752444
144,93.736695,92.288746,0.752995
145,93.736695,92.300383,0.749222
146,93.736695,92.331303,0.739405
147,93.736695,92.331492,0.739388
148,93.736695,92.342383,0.736915
149,93.736695,92.355811,0.729449
150,93.736695,92.382293,0.708925
151,93.736695,92.389905,0.711373
152,93.736695,92.421049,0.687811
153,93.736695,92.439796,0.68621
154,93.736695,92.458436,0.676479
155,93.736695,92.458436,0.676479
156,93.736695,92.471264,0.673366
157,93.736695,92.486553,0.671014
158,93.736695,92.486553,0.671014
159,93.736695,92.513452,0.655637
160,93.736695,92.557342,0.649969
161,93.736695,92.567256,0.645248
162,93.736695,92.579667,0.645626
163,93.736695,92.607782,0.61615
164,93.736695,92.609582,0.616775
165,93.736695,92.631798,0.596268
166,93.736695,92.652636,0.57614
167,93.736695,92.664298,0.571396
168,93.736695,92.715403,0.543185
169,93.736695,92.735015,0.538814
170,93.736695,92.743415,0.535362
171,93.736695,92.763438,0.535688
172,93.736695,92.78605,0.518881
173,93.736695,92.809632,0.500569
174,93.736695,92.809632,0.500569
175,93.736695,92.822752,0.488575
176,93.736695,92.836963,0.480105
177,93.736695,92.847163,0.47327
178,93.736695,92.863625,0.446893
179,93.736695,92.869024,0.444103
180,93.736695,92.880236,0.443037
181,93.736695,92.895236,0.422059
182,93.736695,92.913891,0.377719
