generation,best_fitness,mean_fitness,std_fitness
0,32.263822,-2.711855,8.591819
1,41.862489,11.801834,14.785969
2,42.027424,25.939402,11.38543
3,42.189744,32.790755,7.495663
4,43.437848,36.750351,5.95855
5,60.092438,38.650834,5.390082
6,60.092438,39.50541,4.958734
7,64.352712,40.575919,5.135877
8,69.09465,42.307367,7.316007
9,70.1839,43.720103,7.947632
10,70.1839,44.645773,7.744547
11,70.1839,46.08552,8.247136
12,70.1839,47.274806,8.390117
13,70.1839,48.519236,8.586345
14,79.511046,49.994372,9.427235
15,79.511046,50.704077,9.522569
16,79.511046,52.207601,9.829113
17,79.511046,53.331059,9.864049
18,79.511046,55.289871,9.938053
19,81.032472,57.640493,10.519119
20,81.032472,59.232635,10.36311
21,81.032472,61.02263,10.378377
22,81.043663,61.92887,10.130799
23,81.060835,63.181683,10.054433
24,81.060835,64.077921,10.154616
25,81.060835,65.798599,9.033799
26,81.331787,66.517358,9.031833
27,81.331787,67.333204,8.743264
28,81.331787,68.052544,8.461419
29,81.331787,68.885506,7.703601
generation,best_fitness,mean_fitness,std_fitness
29,81.331787,68.885506,7.703601
30,81.351197,69.501321,7.367828
31,81.351197,69.638507,7.34282
32,81.351197,69.943702,7.140975
33,81.351197,70.444585,7.199743
34,81.351197,70.50853,7.213665
35,81.351197,70.737143,7.186308
36,81.351197,70.782921,7.198529
37,81.351197,70.832962,7.211309
38,81.351197,71.075222,7.159685
39,81.351197,71.075222,7.159685
40,81.351197,71.292633,7.115009
41,81.351197,71.422256,7.129098
42,81.351197,71.83585,7.072836
43,81.351197,71.910771,7.069672
44,81.351197,72.036384,6.95596
45,81.351197,72.141212,6.894172
46,81.351197,72.355376,6.749022
47,81.351197,72.446809,6.519525
48,81.351197,72.824962,6.676822
49,81.351197,73.051128,6.617216
