generation,best_fitness,mean_fitness,std_fitness
0,24.27956,-4.896701,5.450037
1,28.569321,1.312903,8.873917
2,29.380163,9.330856,9.114819
3,45.230675,16.498024,8.855508
4,45.230675,20.329017,7.078221
5,49.870343,23.864141,7.489335
6,49.870343,25.364001,6.864575
7,49.870343,26.597995,7.369578
8,49.870343,28.00982,7.108632
9,52.894906,30.373362,8.243813
10,52.894906,31.17568,8.197943
11,52.894906,32.084757,8.109998
12,52.894906,32.860235,8.418515
13,52.894906,34.007788,8.613256
14,52.92158,35.251416,8.642431
15,52.92158,36.127819,8.216343
16,52.949167,37.507884,8.391617
17,52.949167,37.854053,8.308824
18,52.949167,38.837298,8.505912
19,52.949167,39.530083,8.345863
20,52.949167,39.946416,8.086157
21,52.949167,40.493911,8.196632
22,54.820968,41.111221,7.999995
23,54.820968,41.510763,8.041076
24,54.820968,42.109745,8.036493
25,54.820968,42.39798,7.948541
26,54.886927,42.886167,8.022236
27,54.886927,43.496893,7.907261
28,54.886927,44.021949,7.73809
29,54.886927,44.722106,7.298512
30,54.886927,45.059021,7.295845
31,54.886927,45.643487,7.158623
32,54.886927,45.904666,7.173468
33,54.886927,47.140258,6.379947
34,54.886927,47.440633,6.244597
35,54.886927,47.904802,5.905817
36,58.527721,48.305756,5.785815
37,58.527721,48.483314,5.657278
38,58.527721,48.817095,5.362674
39,58.566498,48.893037,5.276527
40,58.566498,49.100565,5.179449
41,58.566498,49.343037,5.041128
42,58.566498,49.816543,4.782068
43,58.566498,49.832233,4.730175
44,61.143615,50.00083,4.805726
45,61.143615,50.181754,4.787815
46,61.143615,50.306358,4.606776
47,61.143615,50.726193,4.40766
48,61.143615,50.849912,4.43147
49,61.143615,51.005522,4.367347
