generation,best_fitness,mean_fitness,std_fitness
0,28.575899,-3.352481,9.062376
1,53.668136,-0.203943,11.4165
2,53.668136,4.278492,14.562727
3,53.668136,9.446602,14.904402
4,53.668136,14.313229,15.526886
5,53.668136,17.77082,14.239785
6,53.668136,20.669765,13.346188
7,53.668136,23.805569,11.474307
8,53.668136,26.063691,10.032652
9,53.668136,27.66831,8.756258
10,64.801267,28.91471,8.815095
11,64.801267,29.711176,8.749856
12,64.801267,30.509286,7.659208
13,64.801267,30.96342,7.783178
14,64.801267,31.938435,8.122486
15,64.801267,32.544137,8.25994
16,64.801267,32.834768,7.992851
17,64.801267,33.170481,8.175899
18,64.801267,33.66781,8.423591
19,64.801267,34.449173,8.8707
20,64.801267,34.920711,8.805211
21,64.801267,35.142578,8.728707
22,64.801267,35.693185,8.878459
23,64.801267,36.005567,8.797722
24,64.801267,36.174099,8.692699
25,64.801267,36.951811,8.835766
26,64.801267,37.513189,8.630234
27,64.801267,37.694726,8.604408
28,64.801267,37.912702,8.519431
29,64.801267,38.319301,8.315347
30,64.801267,38.639548,8.202524
31,64.801267,38.852977,8.103196
32,64.801267,39.51817,8.31911
33,64.801267,39.864537,8.361625
34,64.801267,39.864537,8.361625
35,64.801267,39.865596,8.361762
36,64.801267,40.06913,8.197394
37,64.801267,40.286313,8.118201
38,64.801267,40.498696,7.998198
39,64.801267,40.57939,8.025719
40,64.801267,40.722378,7.940132
41,64.801267,40.850441,8.021109
42,64.801267,41.179899,7.731501
43,64.801267,41.354845,7.621425
44,64.801267,41.354845,7.621425
45,64.801267,41.364192,7.622513
46,64.801267,41.714817,7.475256
47,64.801267,41.836165,7.410507
48,64.801267,41.852208,7.384754
49,64.801267,41.897546,7.380238
