generation,best_fitness,mean_fitness,std_fitness
0,28.212808,-2.996247,7.927657
1,30.073599,4.864229,12.27467
2,36.205331,15.217396,11.528522
3,36.205331,19.825029,8.683009
4,41.504558,23.114788,6.642778
5,55.392046,25.364922,7.438431
6,55.392046,26.729068,7.198256
7,55.392046,27.322719,7.174337
8,55.392046,28.096758,7.159352
9,55.392046,28.811172,7.497945
10,55.392046,29.648096,7.599661
11,55.392046,30.492689,7.378861
12,55.392046,30.983632,7.320627
13,55.392046,31.7833,7.478474
14,55.392046,32.657807,7.712276
15,55.392046,32.978432,7.766648
16,55.392046,33.328911,7.768717
17,55.392046,33.741633,7.632142
18,55.392046,34.483477,7.592271
19,55.392046,35.302365,7.71878
20,55.392046,35.739349,8.024525
21,58.15538,36.781619,8.543907
22,58.189258,37.577759,8.289691
23,58.504562,38.331318,8.380215
24,58.504562,39.356778,8.283741
25,58.504562,40.670169,7.904736
26,58.504562,41.502321,7.683978
27,58.504562,42.414622,7.270158
28,58.504562,42.774002,7.203459
29,58.504562,44.13306,6.865387
30,60.590957,44.636272,6.575297
31,60.830268,44.852178,6.690343
32,60.830268,45.605984,6.521945
33,64.200756,46.307341,6.643852
34,64.200756,46.540675,6.581847
35,64.200756,46.716695,6.57856
36,64.200756,47.662089,6.267682
37,64.200756,48.223228,6.797882
38,64.200756,48.471911,6.872532
39,64.200756,48.998508,6.667025
40,64.200756,50.043586,6.893085
41,64.241131,50.499638,6.800266
42,66.376439,51.050359,6.932245
43,66.570569,51.380522,7.119223
44,66.570569,51.979717,6.965021
45,66.570569,52.372389,7.013004
46,66.570569,52.978607,7.027836
47,66.570569,53.901607,6.651858
48,66.570569,54.279508,6.364405
49,66.570569,54.848584,6.231634
