generation,best_fitness,mean_fitness,std_fitness
0,15.671515,-5.085217,5.441094
1,27.659841,-1.406334,6.937645
2,27.659841,1.764769,8.443495
3,27.659841,4.419242,8.695663
4,29.197982,6.642029,8.784988
5,29.197982,12.195362,7.890022
6,31.950324,15.579516,7.130115
7,34.670916,18.979494,6.485401
8,34.670916,22.089178,5.273921
9,34.670916,23.83119,4.700905
10,34.670916,25.276655,3.929123
11,34.759044,25.931508,3.880404
12,35.765456,26.595748,4.084946
13,35.842127,27.593022,4.078721
14,35.842127,28.467711,3.867474
15,35.842127,28.802249,3.701732
16,35.842127,29.493114,3.436519
17,35.842127,29.873238,3.386411
18,35.842127,30.227034,3.289981
19,35.842127,30.410459,3.101387
20,35.842127,30.582782,3.045767
21,35.842127,30.638079,3.010553
22,35.842127,31.266745,2.768183
23,35.842127,31.478808,2.625266
24,36.602526,31.833402,2.498265
25,36.602526,32.023753,2.467923
26,36.602526,32.108924,2.470573
27,36.602526,32.329688,2.380335
28,36.602526,32.453148,2.378074
29,36.602526,32.691996,2.225399
generation,best_fitness,mean_fitness,std_fitness
29,36.602526,32.691996,2.225399
30,36.602526,32.80966,2.242794
31,36.602526,32.952675,2.114137
32,36.602526,33.018016,2.103375
33,36.602526,33.043271,2.083864
34,36.602526,33.193415,2.003503
35,36.602526,33.299879,1.920479
36,36.602526,33.35224,1.889666
37,36.602526,33.483433,1.842399
38,36.602526,33.574368,1.90421
39,36.602526,33.633813,1.901133
40,36.602526,33.869795,1.767462
41,36.602526,34.029856,1.74392
42,36.602526,34.065278,1.665801
43,36.602526,34.079885,1.631019
44,36.602526,34.185543,1.522056
45,36.602526,34.325978,1.436067
46,36.602526,34.366897,1.412118
47,36.602526,34.396077,1.426303
48,36.602526,34.448225,1.377146
49,36.602526,34.448727,1.376871
