generation,best_fitness,mean_fitness,std_fitness
0,16.258378,-4.981416,5.435646
1,21.064332,-1.261362,6.633858
2,29.838421,4.319666,8.132528
3,39.411988,11.388584,7.541031
4,39.411988,14.355965,5.965466
5,39.411988,16.05081,5.943237
6,39.411988,18.018675,6.203086
7,39.411988,19.740722,6.961425
8,39.411988,22.675996,7.274115
9,39.411988,24.381265,7.578906
10,39.411988,25.848742,7.367383
11,39.423637,27.082298,6.986698
12,39.423637,28.336621,6.439359
13,39.423637,29.369052,6.132045
14,40.601144,30.51431,5.877894
15,40.601144,31.193443,5.618512
16,41.054228,32.102219,5.471795
17,41.054228,32.911653,5.302879
18,43.449832,33.933121,5.002643
19,57.567035,34.765674,5.390092
20,57.567035,35.206775,5.072269
21,57.567035,35.762674,4.80022
22,57.567035,36.854835,4.840161
23,57.567035,37.619936,5.269433
24,57.567035,38.153582,5.548748
25,61.018518,38.743116,5.8766
26,61.018518,39.457944,5.950636
27,61.018518,39.728475,6.055105
28,69.8398,40.275353,6.794099
29,69.8398,40.444425,6.721226
30,69.8398,40.899119,7.073436
31,69.8398,41.396809,7.32273
32,69.8398,41.92706,7.650703
33,69.8398,42.18483,7.567786
34,69.8398,42.385246,7.734961
35,69.8398,42.972333,8.10041
36,69.8398,42.994434,8.082618
37,69.8398,43.4698,8.477202
38,69.8398,43.568513,8.449603
39,69.8398,43.568686,8.44945
40,69.8398,44.046538,8.483688
41,69.8398,44.382921,8.576866
42,69.8398,44.494835,8.52877
43,69.8398,44.769398,8.507485
44,69.8398,44.958595,8.786786
45,69.8398,44.991385,8.759729
46,69.8398,45.290786,8.671824
47,69.8398,45.787099,8.897995
48,69.8398,45.940139,8.874519
49,69.8398,46.221591,8.817778
