generation,best_fitness,mean_fitness,std_fitness
0,16.058484,-4.78349,4.653463
1,29.340806,-1.229465,7.289875
2,45.276105,5.95935,11.870036
3,45.276105,9.274427,13.58618
4,45.276105,12.170784,13.213645
5,57.733514,16.834634,13.756278
6,57.733514,23.18549,12.189255
7,57.733514,26.497422,11.576759
8,57.733514,30.236359,10.761022
9,57.733514,32.535528,10.645307
10,57.733514,34.249213,10.206792
11,58.108505,36.243801,9.537757
12,58.108505,38.844405,9.397786
13,59.983922,41.950574,10.003841
14,61.213005,44.146136,9.52216
15,61.213005,44.805176,8.899809
16,61.229804,45.974302,8.866453
17,61.229804,46.759627,8.666182
18,61.229804,47.443883,8.591518
19,61.241541,48.148945,8.25766
20,61.241541,49.20435,7.744794
21,61.241541,49.528142,7.604438
22,61.241541,50.159727,7.207554
23,61.241541,50.791363,6.773413
24,61.241541,51.378598,6.263349
25,61.241541,51.677712,5.992332
26,61.241541,51.883054,6.002448
27,61.243748,52.136172,6.031688
28,61.243748,52.497125,5.73819
29,61.243748,52.688979,5.667027
30,61.243748,53.00488,5.5085
31,61.243748,53.163547,5.529358
32,61.243748,53.802784,5.286669
33,61.243748,54.001646,5.01839
34,61.264889,54.273679,5.01076
35,61.264889,54.611576,4.75097
36,61.264889,55.030587,4.753164
37,61.280082,55.713021,4.464453
38,61.280082,56.241282,4.127692
39,61.280082,56.651224,3.98218
40,61.280082,57.171829,3.727425
41,61.290138,57.421174,3.573927
42,61.290138,57.566254,3.551638
43,61.290138,57.820586,3.258277
44,61.290138,57.868236,3.258409
45,61.290138,57.904642,3.270887
46,61.290138,58.085463,3.232913
47,61.290138,58.376588,2.942916
48,61.290138,58.404041,2.89273
49,61.290138,58.500365,2.778737
