generation,best_fitness,mean_fitness,std_fitness
0,91.490612,12.137955,31.935558
1,92.596054,27.60155,37.599526
2,92.596054,45.375916,37.453154
3,93.13194,60.547458,33.353156
4,93.13194,76.542426,22.363163
5,93.13194,82.58683,14.820842
6,93.13194,85.822111,10.504265
7,93.13194,88.238219,5.312988
8,93.13194,89.088361,4.546818
9,93.13194,89.899551,3.396531
10,93.13194,90.255421,3.352568
11,93.13194,90.774205,2.234634
12,93.13194,91.055955,1.653302
13,93.13194,91.25492,1.475768
14,93.13194,91.404407,1.369953
15,93.409567,91.567521,1.201571
16,93.409567,91.589097,1.208938
17,93.409567,91.635525,1.141804
18,93.409567,91.718235,0.93666
19,93.409567,91.803228,0.8464
20,93.409567,91.866484,0.739787
21,93.409567,91.92254,0.615256
22,93.409567,91.976774,0.497539
23,93.409567,91.989788,0.489629
24,93.409567,92.008494,0.493939
25,93.409567,92.008494,0.493939
26,93.409567,92.024907,0.501092
27,93.409567,92.063026,0.493868
28,93.409567,92.074688,0.498055
29,93.409567,92.093935,0.506198
30,93.409567,92.102884,0.505189
31,93.409567,92.119204,0.514988
32,93.409567,92.134601,0.516262
33,93.409567,92.146088,0.514582
34,93.409567,92.164184,0.513958
35,93.409567,92.194688,0.502096
36,93.409567,92.215831,0.491059
37,93.409567,92.224708,0.493541
38,93.409567,92.237308,0.485456
39,93.409567,92.264056,0.477563
40,93.409567,92.296825,0.482389
41,93.409567,92.331113,0.4764
42,93.409567,92.369282,0.476053
43,93.409567,92.371608,0.47352
44,93.409567,92.395752,0.470291
45,93.409567,92.40397,0.464392
46,93.409567,92.438523,0.471234
47,93.409567,92.476964,0.463199
48,93.409567,92.495873,0.459513
49,93.409567,92.527936,0.452658
50,93.409567,92.564211,0.43545
51,93.409567,92.56923,0.434801
52,93.409567,92.601352,0.438611
53,93.409567,92.619435,0.429037
54,93.409567,92.620046,0.429094
55,93.409567,92.620046,0.429094
56,93.409567,92.634004,0.416886
57,93.409567,92.642893,0.424242
58,93.409567,92.645524,0.423371
59,93.409567,92.657256,0.415509
60,93.409567,92.668226,0.419441
61,93.409567,92.670445,0.415131
62,93.409567,92.670445,0.415131
63,93.409567,92.674042,0.415824
64,93.409567,92.679136,0.411094
65,93.409567,92.707732,0.394308
66,93.409567,92.725556,0.399309
67,93.409567,92.748847,0.39247
68,93.409567,92.768911,0.373427
69,93.409567,92.788483,0.361241
70,93.409567,92.789005,0.361072
71,93.409567,92.789005,0.361072
72,93.409567,92.801079,0.355794
73,93.409567,92.810423,0.345927
74,93.409567,92.811477,0.34572
75,93.409567,92.819477,0.337604
76,93.409567,92.821477,0.338855
77,93.409567,92.825035,0.336867
