generation,best_fitness,mean_fitness,std_fitness
0,21.58485,-4.44065,5.245987
1,21.58485,2.482987,8.741201
2,27.248128,6.634749,9.061704
3,34.87462,10.59014,8.342816
4,49.673088,13.291906,8.704518
5,49.673088,14.240472,8.927064
6,49.673088,15.749249,8.958404
7,49.673088,17.772955,9.337121
8,49.673088,18.813441,9.10282
9,49.673088,19.959264,9.309646
10,49.673088,21.368985,9.631271
11,49.673088,23.190633,8.930663
12,49.673088,24.199929,8.946586
13,49.673088,25.503146,8.592518
14,52.237585,26.903236,8.830414
15,52.237585,27.434934,8.519325
16,52.237585,28.27585,8.43203
17,52.237585,28.855425,8.624432
18,52.237585,29.108702,8.561114
19,52.237585,29.571686,8.314436
20,52.237585,30.765555,7.744961
21,52.237585,31.678404,7.41499
22,52.237585,32.269835,7.519714
23,52.237585,32.511276,7.365042
24,52.237585,33.776481,7.477328
25,52.237585,34.804768,7.458108
26,52.237585,35.363489,7.529815
27,53.036899,36.133717,7.729021
28,53.036899,36.47361,7.702095
29,53.036899,37.409674,7.610805
generation,best_fitness,mean_fitness,std_fitness
29,53.036899,37.409674,7.610805
30,55.026685,38.507312,7.445299
31,65.185804,40.280724,7.706411
32,65.185804,42.040757,8.426984
33,65.185804,42.77579,8.188439
34,65.185804,43.435213,8.377441
35,65.185804,43.866427,8.427226
36,65.185804,44.275738,8.255509
37,68.921476,45.322516,8.535682
38,68.921476,45.94457,8.177643
39,68.921476,46.246305,8.066218
40,68.921476,46.606239,7.910965
41,68.921476,47.092843,8.057108
42,78.444601,48.157091,8.413509
43,78.444601,49.289883,8.514036
44,78.444601,50.273058,8.997674
45,78.444601,51.121789,9.1817
46,78.444601,51.829109,9.115119
47,78.444601,53.064162,9.279614
48,78.444601,53.302555,9.156148
49,78.444601,53.747175,9.469207
