generation,best_fitness,mean_fitness,std_fitness
0,16.562373,-4.20993,5.177197
1,24.968395,-0.096291,7.642513
2,34.726877,4.242294,9.922275
3,37.596562,9.314688,10.459876
4,38.107676,14.736163,11.290372
5,72.949982,18.616991,11.569914
6,72.949982,22.294254,10.83598
7,72.949982,24.143983,10.032827
8,72.949982,26.738171,9.854398
9,72.949982,30.076813,9.433859
10,72.949982,32.527714,8.894401
11,72.949982,34.29351,8.749671
12,72.949982,35.642403,8.756438
13,72.949982,36.670215,9.481264
14,72.949982,38.186301,9.492875
15,72.949982,39.386419,9.083743
16,72.949982,40.507647,8.825725
17,72.949982,41.713744,9.427809
18,72.949982,42.770163,9.093817
19,72.949982,44.12111,9.164598
20,72.949982,45.570908,8.842882
21,72.949982,46.239943,8.881503
22,72.949982,46.695545,8.536508
23,72.949982,47.347954,8.525208
24,72.949982,47.813519,8.632471
25,72.949982,47.93925,8.552334
26,72.949982,48.67209,8.761619
27,72.949982,49.442665,8.928335
28,72.949982,49.843599,8.741535
29,72.949982,50.272314,8.818981
30,72.949982,51.083222,8.330114
31,72.949982,51.489376,8.35038
32,72.949982,52.076397,8.574287
33,72.949982,52.530894,8.356438
34,72.949982,52.870216,8.393209
35,78.625937,53.833763,8.763303
36,78.625937,54.227345,8.774679
37,78.625937,54.470677,8.656375
38,78.625937,55.108488,8.760975
39,78.625937,55.421556,8.709732
40,78.625937,55.855486,8.757435
41,78.625937,56.252654,8.533665
42,78.625937,56.622508,8.382316
43,78.625937,57.244882,8.848549
44,78.625937,57.594891,8.824452
45,84.608631,58.227766,9.104854
46,84.608631,58.609079,9.117795
47,84.608631,58.815123,9.037592
48,84.608631,58.916251,9.025857
49,84.608631,59.044026,8.894532
